,district_name,district_code,league,municipality,county,dart,dart2,.IGNORE
1,Abby Kelley Foster Charter Public (District),4450000,Colonial Athletic,Worcester,Worcester,1,,#N/A
2,Abington,0010000,South Shore,Abington,Plymouth,2,7,
3,Academy Of the Pacific Rim Charter Public (District),4120000,Independent - District B,Hyde Park,Suffolk,3,,
4,Acton-Boxborough,6000000,Dual County,Acton,Middlesex,4,13,
5,Acushnet,0030000,NA,Acushnet,Bristol,5,,
6,Adams-Cheshire,6030000,NA,Cheshire,Berkshire,,,
7,Advanced Math and Science Academy Charter (District),4300000,Colonial Athletic,Marlborough,Middlesex,6,,
8,Agawam,0050000,Pioneer Valley,Feeding Hills,Hampden,7,19,
9,Alma del Mar Charter School (District),4090000,NA,New Bedford,Bristol,8,,
10,Amesbury,0070000,Cape Ann,Amesbury,Essex,9,,
11,Amherst,0080000,Pioneer Valley,Amherst,Hampshire,10,,
12,Amherst-Pelham,6050000,Pioneer Valley,Amherst,Hampshire,9,11,
13,Andover,0090000,Merrimack Valley,Andover,Essex,12,13,
14,Argosy Collegiate Charter School (District),35090000,NA,Fall River,Bristol,3,,
15,Arlington,0100000,Middlesex,Arlington,Middlesex,4,13,
16,Ashburnham-Westminster,6100000,NA,Ashburnham,Worcester,14,,
17,Ashland,0140000,Tri-Valley,Ashland,Middlesex,15,,
18,Assabet Valley Regional Vocational Technical,8010000,Colonial Athletic,Marlborough,Middlesex,16,,
19,Athol-Royalston,6150000,Pioneer Valley,Athol,Worcester,17,,
20,Atlantis Charter (District),4910000,Independent - District D,Fall River,Bristol,1,18,
21,Attleboro,0160000,Hockomock,Attleboro,Bristol,7,19,
22,Auburn,0170000,South Worcester,Auburn,Worcester,20,,
23,Avon,0180000,Mayflower,Avon,Norfolk,21,,
24,Ayer Shirley School District,6160000,Midland Wachusett,Ayer,Middlesex,9,11,
25,Barnstable,0200000,Old Colony,Hyannis,Barnstable,,,
26,Barnstable Community Horace Mann Charter Public (District),4270000,NA,Hyannis,Barnstable,,,
27,Baystate Academy Charter Public School (District),35020000,Pioneer Valley,Springfield,Hampden,3,,
28,Bedford,0230000,Dual County,Bedford,Middlesex,15,,
29,Belchertown,0240000,Pioneer Valley,Belchertown,Hampshire,14,,
30,Bellingham,0250000,Tri-Valley,Bellingham,Norfolk,9,,
31,Belmont,0260000,Middlesex,Belmont,Middlesex,4,13,
32,Benjamin Banneker Charter Public (District),4200000,NA,Cambridge,Middlesex,,,
33,Benjamin Franklin Classical Charter Public (District),4470000,NA,Franklin,Norfolk,,,
34,Bentley Academy Charter School (District),35110000,NA,Salem,Essex,,,
35,Berkley,0270000,South Coast,Berkley,Bristol,5,,
36,Berkshire Arts and Technology Charter Public (District),4140000,NA,Adams,Berkshire,3,,
37,Berkshire Hills,6180000,NA,Stockbridge,Berkshire,21,,
38,Berlin,0280000,NA,Boylston,Worcester,,,
39,Berlin-Boylston,6200000,NA,Boylston,Worcester,,,
40,Beverly,0300000,Northeastern,Beverly,Essex,,,
41,Billerica,0310000,Merrimack Valley,Billerica,Middlesex,14,,
42,Blackstone Valley Regional Vocational Technical,8050000,Colonial Athletic,Upton,Worcester,,,
43,Blackstone-Millville,6220000,Dual Valley,Blackstone,Worcester,,,
44,Blue Hills Regional Vocational Technical,8060000,Mayflower,Canton,Norfolk,16,,
45,Boston,0350000,Catholic Conference (B),Roxbury,Suffolk,,,
46,Boston Collegiate Charter (District),4490000,NA,Dorchester,Suffolk,18,,
47,Boston Day and Evening Academy Charter (District),4240000,NA,Roxbury,Suffolk,,,
48,Boston Green Academy Horace Mann Charter School (District),4110000,NA,Brighton,Suffolk,3,,
49,Boston Preparatory Charter Public (District),4160000,NA,Hyde Park,Suffolk,3,,
50,Boston Renaissance Charter Public (District),4810000,NA,Hyde Park,Suffolk,,,
51,Bourne,0360000,South Coast,Bourne,Barnstable,,,
52,Boxford,0380000,NA,Boxford,Essex,10,,
53,Boylston,0390000,NA,Boylston,Worcester,,,
54,Braintree,0400000,Bay State,Braintree,Norfolk,,,
55,Brewster,0410000,NA,Orleans,Barnstable,10,,
56,Bridge Boston Charter School (District),4170000,NA,Roxbury,Suffolk,8,,
57,Bridgewater-Raynham,6250000,Old Colony,Bridgewater,Plymouth,,,
58,Brimfield,0430000,NA,Fiskdale,Worcester,,,
59,Bristol County Agricultural,9100000,Mayflower,Dighton,Bristol,,,
60,Bristol-Plymouth Regional Vocational Technical,8100000,Mayflower,Taunton,Bristol,,,
61,Brockton,0440000,Big Three,Brockton,Plymouth,,,
62,Brooke Charter School (District),4280000,NA,Roslindale,Suffolk,1,18,
63,Brooke Charter School East Boston (District),4570000,NA,East Boston,Suffolk,,,
64,Brooke Charter School Mattapan (District),4430000,NA,Mattapan,Suffolk,,,
65,Brooke Charter School Roslindale (District),4280000,NA,Roslindale,Suffolk,,,
66,Brookfield,0450000,NA,Fiskdale,Worcester,,,
67,Brookline,0460000,Bay State,Brookline,Norfolk,4,13,
68,Burlington,0480000,Middlesex,Burlington,Middlesex,15,,
69,Cambridge,0490000,NA,Cambridge,Middlesex,19,,
70,Canton,0500000,Hockomock,Canton,Norfolk,20,,
71,Cape Cod Lighthouse Charter (District),4320000,NA,East Harwich,Barnstable,,,
72,Cape Cod Regional Vocational Technical,8150000,Mayflower,Harwich,Barnstable,16,,
73,Carlisle,0510000,NA,Carlisle,Middlesex,,,
74,Carver,0520000,South Shore,Carver,Plymouth,14,,
75,Central Berkshire,6350000,NA,Dalton,Berkshire,,,
76,Chelmsford,0560000,Merrimack Valley,Chelmsford,Middlesex,13,,
77,Chelsea,0570000,Commonwealth,Chelsea,Suffolk,,,
78,Chesterfield-Goshen,6320000,NA,Chesterfield,Hampshire,,,
79,Chicopee,0610000,Pioneer Valley,Chicopee,Hampden,,,
80,Christa McAuliffe Charter Public (District),4180000,NA,Framingham,Middlesex,,,
81,City on a Hill Charter Public School (District),4370000,NA,Roxbury,Suffolk,,,
82,City on a Hill Charter Public School Circuit Street (District),4370000,NA,Roxbury,Suffolk,,,
83,City on a Hill Charter Public School Dudley Square (District),35040000,NA,Roxbury,Suffolk,,,
84,City on a Hill Charter Public School New Bedford (District),35070000,NA,New Bedford,Bristol,,,
85,Clarksburg,0630000,NA,Clarksburg,Berkshire,,,
86,Clinton,0640000,Midland Wachusett,Clinton,Worcester,,,
87,Codman Academy Charter Public (District),4380000,NA,Dorchester,Suffolk,3,,
88,Cohasset,0650000,South Shore,Cohasset,Norfolk,,,
89,Collegiate Charter School of Lowell (District),35030000,NA,Lowell,Middlesex,1,18,
90,Community Charter School of Cambridge (District),4360000,NA,Cambridge,Middlesex,18,,
91,Community Day Charter Public School - Gateway (District),4260000,NA,Lawrence,Essex,8,,
92,Community Day Charter Public School - Prospect (District),4400000,NA,Lawrence,Essex,8,,
93,Community Day Charter Public School - R. Kingman Webster (District),4310000,NA,Lawrence,Essex,8,,
94,Concord,0670000,Dual County,Concord,Middlesex,5,,
95,Concord-Carlisle,6400000,Dual County,Concord,Middlesex,,,
96,Conservatory Lab Charter (District),4390000,NA,Dorchester,Suffolk,8,,
97,Conway,0680000,NA,South Deerfield,Franklin,,,
98,Danvers,0710000,Northeastern,Danvers,Essex,14,,
99,Dartmouth,0720000,Old Colony,Dartmouth,Bristol,,,
100,Dedham,0730000,Tri-Valley,Dedham,Norfolk,9,,
101,Deerfield,0740000,NA,South Deerfield,Franklin,,,
102,Dennis-Yarmouth,6450000,Atlantic Coast,South Yarmouth,Barnstable,,,
103,Dighton-Rehoboth,6500000,South Coast,North Dighton,Bristol,,,
104,Dorchester Collegiate Academy Charter (District),4750000,NA,Dorchester,Suffolk,,,
105,Douglas,0770000,Dual Valley,Douglas,Worcester,14,,
106,Dover,0780000,Tri-Valley,Dover,Norfolk,,,
107,Dover-Sherborn,6550000,Tri-Valley,Dover,Norfolk,,,
108,Dracut,0790000,Merrimack Valley,Dracut,Middlesex,,,
109,Dudley Street Neighborhood Charter School (District),4070000,NA,Boston,Suffolk,,,
110,Dudley-Charlton Reg,6580000,NA,Dudley,Worcester,7,20,
111,Duxbury,0820000,Patriot,Duxbury,Plymouth,,,
112,East Bridgewater,0830000,South Shore,East Bridgewater,Plymouth,,,
113,East Longmeadow,0870000,Pioneer Valley,East Longmeadow,Hampden,14,,
114,Eastham,0850000,NA,Orleans,Barnstable,,,
115,Easthampton,0860000,Pioneer Valley,Easthampton,Hampshire,21,,
116,Easton,0880000,NA,North Easton,Bristol,14,,
117,Edgartown,0890000,NA,Vineyard Haven,Dukes,,,
118,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,NA,Boston,Suffolk,,,
119,Erving,0910000,NA,Erving,Franklin,,,
120,Essex North Shore Agricultural and Technical School District,8170000,Commonwealth,Hathorne,Essex,,,
121,Everett,0930000,Northeastern,Everett,Middlesex,,,
122,Excel Academy Charter (District),4100000,Boston City North,East Boston,Suffolk,1,18,
123,Fairhaven,0940000,South Coast,Fairhaven,Bristol,,,
124,Fall River,0950000,NA,Fall River,Bristol,,,
125,Falmouth,0960000,Atlantic Coast,East Falmouth,Barnstable,7,,
126,Farmington River Reg,6620000,NA,Otis,Berkshire,,,
127,Fitchburg,0970000,Midland Wachusett,Fitchburg,Worcester,,,
128,Florida,0980000,NA,Florida,Berkshire,,,
129,Four Rivers Charter Public (District),4130000,NA,Greenfield,Franklin,,,
130,Foxborough,0990000,Hockomock,Foxborough,Norfolk,14,,
131,Foxborough Regional Charter (District),4460000,NA,Foxborough,Norfolk,18,,
132,Framingham,1000000,Bay State,Framingham,Middlesex,1,,
133,Francis W. Parker Charter Essential (District),4780000,NA,Devens,Middlesex,6,,
134,Franklin,1010000,Hockomock,Franklin,Norfolk,,,
135,Franklin County Regional Vocational Technical,8180000,NA,Turners Falls,Franklin,,,
136,Freetown-Lakeville,6650000,NA,Lakeville,Plymouth,,,
137,Frontier,6700000,Pioneer Valley,South Deerfield,Franklin,6,,
138,Gardner,1030000,Midland Wachusett,Gardner,Worcester,17,,
139,Gateway,6720000,Pioneer Valley,Huntington,Hampshire,21,,
140,Georgetown,1050000,Cape Ann,Georgetown,Essex,,,
141,Gill-Montague,6740000,NA,Turners Falls,Franklin,17,,
142,Global Learning Charter Public (District),4960000,NA,New Bedford,Bristol,1,18,
143,Gloucester,1070000,Northeastern,Gloucester,Essex,,,
144,Gosnold,1090000,NA,East Falmouth,Barnstable,,,
145,Grafton,1100000,South Worcester,Grafton,Worcester,14,,
146,Granby,1110000,Pioneer Valley,Granby,Hampshire,11,21,
147,Greenfield Commonwealth Virtual District,39010000,NA,Greenfield,Franklin,3,,
148,Greater Fall River Regional Vocational Technical,8210000,NA,Fall River,Bristol,,,
149,Greater Lawrence Regional Vocational Technical,8230000,Commonwealth,Andover,Essex,16,,
150,Greater Lowell Regional Vocational Technical,8280000,Commonwealth,Tyngsborough,Middlesex,16,,
151,Greater New Bedford Regional Vocational Technical,8250000,South Coast,New Bedford,Bristol,,,
152,Greenfield,1140000,Pioneer Valley,Greenfield,Franklin,17,,
153,Greenfield Commonwealth Virtual District,39010000,Pioneer Valley,Greenfield,Franklin,3,,
154,Groton-Dunstable,6730000,Midland Wachusett,Groton,Middlesex,,,
155,Hadley,1170000,NA,Hadley,Hampshire,20,,
156,Halifax,1180000,NA,Kingston,Plymouth,,,
157,Hamilton-Wenham,6750000,Cape Ann,Wenham,Essex,,,
158,Hampden Charter School of Science (District),4990000,Pioneer Valley,Chicopee,Hampden,,,
159,Hampden Charter School of Science East (District),4990000,Pioneer Valley,Chicopee,Hampden,1,18,
160,Hampden Charter School of Science West (District),35160000,Pioneer Valley,West Springfield,Hampden,3,18,
161,Hampden-Wilbraham,6800000,NA,Wilbraham,Hampden,20,,
162,Hampshire,6830000,Pioneer Valley,Westhampton,Hampshire,6,,
163,Hancock,1210000,NA,Richmond,Berkshire,,,
164,Hanover,1220000,Patriot,Hanover,Plymouth,,,
165,Harvard,1250000,NA,Harvard,Worcester,,,
166,Hatfield,1270000,NA,Hatfield,Hampshire,,,
167,Haverhill,1280000,Merrimack Valley,Haverhill,Essex,,,
168,Hawlemont,6850000,NA,Shelburne Falls,Franklin,,,
169,Helen Y. Davis Leadership Academy Charter Public (District),4190000,NA,Boston,Suffolk,,,
170,Hill View Montessori Charter Public (District),4550000,NA,Haverhill,Essex,,,
171,Hilltown Cooperative Charter Public (District),4500000,NA,Easthampton,Hampshire,,,
172,Hingham,1310000,Patriot,Hingham,Plymouth,,,
173,Holbrook,1330000,Mayflower,Holbrook,Norfolk,11,21,
174,Holland,1350000,NA,Fiskdale,Worcester,,,
