LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0001,Abington,2146,107.2,2253.2,376.901794,814.5848169,5524.145284,1365.466431,89.84466915,371.3171342,480.450918,1154.398276,914.2410019,2630.024567,13721.37489,8645.809253,15109.81023,2020-21
0003,Acushnet,1018.8,306.7,1325.5,588.6412937,841.1389576,5078.013909,1113.085159,98.85572242,621.9594621,392.3938457,1193.861425,951.8660385,1540.603651,12420.41946,8145.447055,12949.64675,2020-21
0005,Agawam,3699.1,149.1,3848.2,425.9311724,990.2433024,7017.928047,1789.343624,116.2945041,430.3453272,656.285583,1198.713471,1337.323133,3128.795804,17091.20397,11000.44039,17843.78698,2020-21
0007,Amesbury,2015.8,180.3,2196.1,462.8411995,961.4055437,6736.235237,1700.169873,91.23726312,268.9235093,559.652282,1084.818464,1217.18287,3514.275761,16596.742,10317.62371,17828.3283,2020-21
0008,Amherst,1106.9,121.6,1228.5,826.6320354,1527.261722,8724.752914,3053.48812,422.8801156,309.6160448,696.2218809,1147.571596,1763.695907,5363.146626,23835.26696,14734.2208,23288.79121,2020-21
0009,Andover,5869.7,122.3,5992,468.6056715,1168.930864,7484.358655,2005.446445,251.5304019,367.855427,693.5790586,1305.456199,1799.956557,2936.509362,18482.22864,11971.70085,19655.7706,2020-21
0010,Arlington,6096.3,101.4,6197.7,513.7821539,922.6393763,5874.1785,1255.172782,101.6119089,266.2523432,664.7689271,1416.273914,1176.254157,2613.836126,14804.77019,9084.623837,15628.93013,2020-21
0014,Ashland,2869.7,67.3,2937,514.0026309,745.0660348,5859.012482,1290.805659,76.09591246,317.7221103,644.9141025,1325.07852,884.773952,2033.671213,13691.14262,8933.616301,14845.04715,2020-21
0016,Attleboro,5986.6,489.8,6476.4,463.6911736,807.5949019,5682.848254,1337.628966,95.92255704,137.5458006,399.2014248,1022.486024,1288.378943,2430.286978,13665.58502,8460.741905,14206.23614,2020-21
0017,Auburn,2640.8,52.4,2693.2,331.3199485,764.3222584,5446.797005,1416.17096,94.69291881,251.64059,525.2701303,1348.078662,1016.380222,2801.607449,13996.28014,8498.893862,14239.59607,2020-21
0018,Avon,721.8,26.6,748.4,718.0368523,1182.662787,7380.550014,734.4887781,83.80160709,388.1185924,478.79468,1042.962039,1435.937933,2991.6445,16436.99778,10248.41646,17557.52806,2020-21
0020,Barnstable,5075.7,555.2,5630.9,682.0869141,1361.180318,6572.695496,1763.186798,123.5162106,296.5497843,656.2252241,1754.70262,1348.42962,2884.980332,17443.55332,10773.35383,17404.9833,2020-21
0023,Bedford,2688.5,46,2734.5,842.064642,1309.624754,8625.787164,1181.916373,282.4097564,474.8374261,676.56727,1312.688049,1262.605929,2702.334127,18670.83549,12551.14274,20183.89431,2020-21
0024,Belchertown,2244.4,205.3,2449.7,610.5097131,926.6296471,5603.198182,1132.435395,93.49536624,255.0712885,582.4340581,1610.43305,1199.024684,2381.796917,14395.0283,8593.263937,14560.26925,2020-21
0025,Bellingham,2130.1,280.4,2410.5,673.1103845,874.6624947,6254.286376,1599.967438,102.9060232,237.5366227,561.1076194,1616.876043,1393.836853,3601.270231,16915.56009,9630.466574,17620.96542,2020-21
0026,Belmont,4717.1,96.7,4813.8,526.6511204,814.6272074,5809.814293,976.3746794,71.54332111,441.4335079,456.8389477,1076.140849,1328.380361,2342.149202,13843.95349,8570.631956,15279.98941,2020-21
0027,Berkley,918.5,12.5,931,495.1627654,806.2406097,4965.257485,1118.956995,44.50190528,628.8938487,541.1671203,969.0495373,953.2182907,1423.127926,11945.57648,8105.017964,12241.0247,2020-21
0028,Berlin,0,0,0,,,,,,,,,,,,#¡VALOR!,,2020-21
0030,Beverly,4742.4,178.8,4921.2,477.0411901,569.2124599,5680.070726,1268.020943,74.69959725,211.8102416,481.7295357,968.6969593,861.5122765,2980.493025,13573.28695,8285.543503,14781.31785,2020-21
0031,Billerica,4809.2,230,5039.2,357.7254013,972.5474091,7121.838559,1705.525867,147.5,233.348166,826.9481411,1389.714298,1185.866464,3120.701156,17061.71546,11007.70814,17743.36264,2020-21
0035,Boston,51103,14297.5,65400.5,974.6285647,2088.851039,9073.950254,2571.224388,169.8217901,767.6631857,383.0438483,3372.694854,1453.942396,4361.671225,25217.49154,15054.55451,24020.50281,2020-21
