district_school_name,district_school_code,african_american_percent,asian_percent,hispanic_percent,white_percent,native_american_percent,native_hawaiian_pacific_islander_percent,multi_race_non_hispanic_percent,females_percent,males_percent,fte_count,year
Abby Kelley Foster Charter Public (District),04450000,3.3,1.1,3.3,91.2,0.0,0.0,1.1,78.6,21.4,182.2,2020-21
Abington,00010000,1.1,0.4,2.4,95.8,0.0,0.0,0.4,83.6,16.4,269.1,2020-21
Academy Of the Pacific Rim Charter Public (District),04120000,24.3,8.0,11.1,54.5,0.0,0.0,2.2,72.4,27.6,90.4,2020-21
Acton-Boxborough,06000000,0.5,3.7,1.2,94.3,0.1,0.0,0.1,86.0,14.0,788.1,2020-21
Acushnet,00030000,0.8,0.0,0.0,99.2,0.0,0.0,0.0,84.4,15.6,120.3,2020-21
Advanced Math and Science Academy Charter (District),04300000,0.0,3.7,1.6,93.0,0.0,0.0,1.6,61.1,38.9,123.3,2020-21
Agawam,00050000,0.8,0.2,1.1,97.8,0.0,0.0,0.2,82.5,17.5,641.0,2020-21
Alma del Mar Charter School (District),04090000,9.5,0.8,12.1,77.7,0.0,0.0,0.0,76.7,23.3,124.3,2020-21
Amesbury,00070000,0.0,0.0,0.4,99.2,0.0,0.0,0.4,80.7,19.3,245.3,2020-21
Amherst,00080000,6.3,3.8,15.2,71.9,0.0,0.0,2.8,82.3,17.5,267.3,2020-21
Amherst-Pelham,06050000,13.2,1.4,13.0,70.3,0.0,0.0,2.1,66.4,33.4,261.3,2020-21
Andover,00090000,0.3,3.5,2.7,93.0,0.1,0.1,0.3,84.9,15.1,924.2,2020-21
Argosy Collegiate Charter School (District),35090000,7.4,2.7,6.8,81.5,0.0,0.0,1.5,73.7,26.3,66.0,2020-21
Arlington,00100000,2.4,3.0,2.7,90.6,0.0,0.1,1.2,79.5,20.4,844.9,2020-21
Ashburnham-Westminster,06100000,1.3,0.0,0.7,97.4,0.0,0.0,0.7,77.1,22.9,304.6,2020-21
Ashland,00140000,0.5,1.3,0.8,97.1,0.0,0.0,0.3,79.9,20.1,383.9,2020-21
Assabet Valley Regional Vocational Technical,08010000,0.7,0.0,4.0,95.4,0.0,0.0,0.0,51.5,48.5,151.5,2020-21
Athol-Royalston,06150000,1.4,0.0,0.6,98.0,0.0,0.0,0.0,82.0,18.0,216.6,2020-21
Atlantis Charter (District),04910000,1.6,1.1,0.0,95.2,1.1,0.0,1.1,82.6,17.4,185.8,2020-21
Attleboro,00160000,1.1,0.4,3.1,94.4,0.1,0.0,0.9,83.0,16.7,699.6,2020-21
Auburn,00170000,0.6,0.7,3.1,95.3,0.0,0.0,0.3,84.9,15.1,335.4,2020-21
Avon,00180000,4.9,2.0,2.0,91.1,0.0,0.0,0.0,81.3,18.7,101.6,2020-21
Ayer Shirley School District,06160000,1.2,1.4,2.4,94.7,0.0,0.0,0.4,81.1,18.9,254.7,2020-21
Barnstable,00200000,1.4,1.0,1.7,95.5,0.1,0.0,0.4,83.2,16.8,775.6,2020-21
