district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Abby Kelley Foster Charter Public (District),04450000,952,66.8,195,13.7,173,12.1,NA,NA,NA,NA,NA,NA,887,62.2,684,48,2020-21
Abington,00010000,298,14.1,162,7.7,340,15.8,NA,NA,NA,NA,NA,NA,889,41.4,628,29.7,2020-21
Academy Of the Pacific Rim Charter Public (District),04120000,173,32,34,6.3,138,25.6,NA,NA,NA,NA,NA,NA,370,68.5,260,48.1,2020-21
Acton-Boxborough,06000000,1117,21.5,273,5.2,794,15,NA,NA,NA,NA,NA,NA,1469,27.8,422,8.1,2020-21
Acushnet,00030000,10,1.1,6,0.7,126,13.7,NA,NA,NA,NA,NA,NA,351,38,258,28.4,2020-21
Advanced Math and Science Academy Charter (District),04300000,238,24.6,13,1.3,56,5.8,NA,NA,NA,NA,NA,NA,234,24.2,100,10.4,2020-21
Agawam,00050000,438,12.5,180,5.1,607,17.1,NA,NA,NA,NA,NA,NA,1650,46.6,1227,35,2020-21
Alma del Mar Charter School (District),04090000,349,43.8,248,31.1,138,17.3,NA,NA,NA,NA,NA,NA,650,81.6,523,65.6,2020-21
Amesbury,00070000,74,4,38,2.1,419,22.2,NA,NA,NA,NA,NA,NA,793,42,524,28.3,2020-21
Amherst,00080000,300,29.2,136,13.2,228,22.1,NA,NA,NA,NA,NA,NA,519,50.3,348,33.8,2020-21
Amherst-Pelham,06050000,255,19.9,95,7.4,288,22.2,NA,NA,NA,NA,NA,NA,566,43.7,381,29.7,2020-21
Andover,00090000,965,17.3,171,3.1,1150,20.4,NA,NA,NA,NA,NA,NA,1794,31.8,549,9.8,2020-21
Argosy Collegiate Charter School (District),35090000,151,26.4,110,19.3,115,20.1,NA,NA,NA,NA,NA,NA,452,79.2,381,66.7,2020-21
Arlington,00100000,685,11.9,235,4.1,915,15.7,NA,NA,NA,NA,NA,NA,1541,26.4,524,9.1,2020-21
Ashburnham-Westminster,06100000,88,4,33,1.5,427,19.4,NA,NA,NA,NA,NA,NA,750,34,437,19.9,2020-21
Ashland,00140000,753,27.6,163,6,476,17.3,NA,NA,NA,NA,NA,NA,961,34.9,486,17.8,2020-21
Assabet Valley Regional Vocational Technical,08010000,240,20.9,57,5,287,25,NA,NA,NA,NA,NA,NA,629,54.7,380,33.1,2020-21
Athol-Royalston,06150000,77,5.4,41,2.9,348,24,NA,NA,NA,NA,NA,NA,936,64.6,790,55.4,2020-21
Atlantis Charter (District),04910000,359,27.7,183,14.1,174,13.4,NA,NA,NA,NA,NA,NA,800,61.7,654,50.5,2020-21
Attleboro,00160000,816,14.2,342,5.9,1012,17.5,NA,NA,NA,NA,NA,NA,2667,46,1899,33,2020-21
Auburn,00170000,229,9.1,56,2.2,274,10.8,NA,NA,NA,NA,NA,NA,817,32.3,559,22.2,2020-21
Avon,00180000,62,9.1,33,4.8,137,19.9,NA,NA,NA,NA,NA,NA,341,49.6,248,36.3,2020-21
Ayer Shirley School District,06160000,156,9.7,58,3.6,352,21.5,NA,NA,NA,NA,NA,NA,710,43.3,444,27.7,2020-21
Barnstable,00200000,1200,25.5,601,12.8,839,17.6,NA,NA,NA,NA,NA,NA,2737,57.5,1976,41.9,2020-21
Baystate Academy Charter Public School (District),35020000,116,24.7,41,8.7,97,20.7,NA,NA,NA,NA,NA,NA,377,80.4,343,73.1,2020-21
Bedford,00230000,481,18.4,117,4.5,456,17.2,NA,NA,NA,NA,NA,NA,822,30.9,276,10.6,2020-21
Belchertown,00240000,56,2.6,31,1.4,419,19.4,NA,NA,NA,NA,NA,NA,761,35.2,467,21.7,2020-21
Bellingham,00250000,110,5.5,48,2.4,428,21.3,NA,NA,NA,NA,NA,NA,810,40.2,492,24.8,2020-21
Belmont,00260000,1189,26.9,347,7.9,540,12,NA,NA,NA,NA,NA,NA,1324,29.3,368,8.3,2020-21
Benjamin Banneker Charter Public (District),04200000,98,28.5,15,4.4,45,13.1,NA,NA,NA,NA,NA,NA,218,63.4,193,56.1,2020-21
Benjamin Franklin Classical Charter Public (District),04470000,166,21.4,55,7.1,93,12,NA,NA,NA,NA,NA,NA,242,31.2,113,14.6,2020-21
Berkley,00270000,9,1,9,1,130,15,NA,NA,NA,NA,NA,NA,274,31.6,184,21.3,2020-21
Berkshire Arts and Technology Charter Public (District),04140000,5,1.3,5,1.3,75,20.2,NA,NA,NA,NA,NA,NA,223,59.9,184,49.5,2020-21
Berkshire Hills,06180000,113,9.7,51,4.4,215,18.2,NA,NA,NA,NA,NA,NA,522,44.2,393,33.8,2020-21
Berlin-Boylston,06200000,131,12.5,22,2.1,171,16.2,NA,NA,NA,NA,NA,NA,298,28.2,147,14.1,2020-21
Beverly,00300000,453,9.8,193,4.2,912,19.4,NA,NA,NA,NA,NA,NA,1937,41.2,1309,28.3,2020-21
Billerica,00310000,507,11.1,77,1.7,934,20.2,NA,NA,NA,NA,NA,NA,1696,36.7,963,21.1,2020-21
Blackstone Valley Regional Vocational Technical,08050000,8,0.6,5,0.4,130,10.6,NA,NA,NA,NA,NA,NA,238,19.3,128,10.4,2020-21
Blackstone-Millville,06220000,103,6.6,27,1.7,284,17.9,NA,NA,NA,NA,NA,NA,646,40.8,428,27.3,2020-21
Blue Hills Regional Vocational Technical,08060000,66,7.4,13,1.5,239,26.9,NA,NA,NA,NA,NA,NA,473,53.1,283,31.8,2020-21
Boston,00350000,23120,48.1,14025,29.2,10441,21.5,NA,NA,NA,NA,NA,NA,37913,78.2,30300,63,2020-21
Boston Collegiate Charter (District),04490000,92,12.7,32,4.4,115,15.9,NA,NA,NA,NA,NA,NA,380,52.6,280,38.7,2020-21
Boston Day and Evening Academy Charter (District),04240000,131,36.8,57,16,136,38.1,NA,NA,NA,NA,NA,NA,300,84,254,71.3,2020-21
Boston Green Academy Horace Mann Charter School (District),04110000,185,36.3,86,16.9,169,33.2,NA,NA,NA,NA,NA,NA,424,83.3,367,72.1,2020-21
Boston Preparatory Charter Public (District),04160000,227,33.8,129,19.2,136,20.3,NA,NA,NA,NA,NA,NA,531,79.1,405,60.4,2020-21
Boston Renaissance Charter Public (District),04810000,251,26.6,109,11.6,100,10.6,NA,NA,NA,NA,NA,NA,668,70.8,587,62.2,2020-21
Bourne,00360000,32,1.9,17,1,305,18.3,NA,NA,NA,NA,NA,NA,694,41.7,506,30.7,2020-21
Boxford,00380000,11,1.6,9,1.3,129,18.9,NA,NA,NA,NA,NA,NA,172,25.1,50,7.4,2020-21
Braintree,00400000,1079,19.8,332,6.1,1102,19.9,NA,NA,NA,NA,NA,NA,2321,42,1194,21.9,2020-21
Brewster,00410000,22,5.2,18,4.3,81,19.2,NA,NA,NA,NA,NA,NA,173,41,131,31.2,2020-21
Bridge Boston Charter School (District),04170000,152,45,93,27.5,74,21.9,NA,NA,NA,NA,NA,NA,282,83.4,232,68.6,2020-21
Bridgewater-Raynham,06250000,307,5.8,149,2.8,864,16.3,NA,NA,NA,NA,NA,NA,1745,32.9,1079,20.5,2020-21
Brimfield,00430000,3,1.1,3,1.1,43,15.9,NA,NA,NA,NA,NA,NA,98,36.3,64,23.8,2020-21
Bristol County Agricultural,09100000,0,0,0,0,66,14.7,NA,NA,NA,NA,NA,NA,164,36.6,114,25.4,2020-21
Bristol-Plymouth Regional Vocational Technical,08100000,27,2,4,0.3,226,17.1,NA,NA,NA,NA,NA,NA,544,41.2,385,29.2,2020-21
Brockton,00440000,6869,44.7,3976,25.8,2678,17.3,NA,NA,NA,NA,NA,NA,12056,77.9,10081,65.5,2020-21
Brooke Charter School (District),04280000,707,34.4,143,7,229,11.2,NA,NA,NA,NA,NA,NA,1357,66.1,1116,54.4,2020-21
Brookfield,00450000,2,0.8,1,0.4,32,12,NA,NA,NA,NA,NA,NA,96,36.1,77,28.9,2020-21
Brookline,00460000,2006,29.1,649,9.4,1183,17,NA,NA,NA,NA,NA,NA,2462,35.4,747,10.8,2020-21
Burlington,00480000,692,20.4,171,5,493,14.2,NA,NA,NA,NA,NA,NA,1072,30.9,515,15.2,2020-21
Cambridge,00490000,1845,27.6,392,5.9,1574,23.1,NA,NA,NA,NA,NA,NA,3289,48.2,2101,31.5,2020-21
Canton,00500000,230,7.3,71,2.2,413,12.9,NA,NA,NA,NA,NA,NA,947,29.5,537,17,2020-21
Cape Cod Lighthouse Charter (District),04320000,15,6,1,0.4,44,17.6,NA,NA,NA,NA,NA,NA,85,34,45,18,2020-21
Cape Cod Regional Vocational Technical,08150000,31,5,14,2.2,166,26.5,NA,NA,NA,NA,NA,NA,393,62.8,292,46.6,2020-21
Carlisle,00510000,28,4.8,11,1.9,101,17.2,NA,NA,NA,NA,NA,NA,145,24.7,28,4.8,2020-21
Carver,00520000,22,1.5,21,1.4,288,19.3,NA,NA,NA,NA,NA,NA,575,38.5,376,25.5,2020-21
Central Berkshire,06350000,14,0.9,8,0.5,232,15.2,NA,NA,NA,NA,NA,NA,667,43.8,560,37,2020-21
Chelmsford,00560000,1006,20.8,205,4.2,813,16.6,NA,NA,NA,NA,NA,NA,1527,31.2,711,14.7,2020-21
Chelsea,00570000,4952,83.4,2118,35.7,1017,16.7,NA,NA,NA,NA,NA,NA,5232,85.8,4191,70.6,2020-21
Chesterfield-Goshen,06320000,0,0,0,0,24,23.8,NA,NA,NA,NA,NA,NA,46,45.5,27,26.7,2020-21
Chicopee,00610000,912,13.3,392,5.7,1301,18.9,NA,NA,NA,NA,NA,NA,4570,66.5,4035,58.9,2020-21
Christa McAuliffe Charter Public (District),04180000,100,25.1,17,4.3,77,19.3,NA,NA,NA,NA,NA,NA,219,54.9,149,37.3,2020-21
City on a Hill Charter Public School Circuit Street (District),04370000,103,34.4,70,23.4,65,21.7,NA,NA,NA,NA,NA,NA,251,83.9,207,69.2,2020-21
Clarksburg,00630000,0,0,0,0,35,18.4,NA,NA,NA,NA,NA,NA,76,40,57,30,2020-21
Clinton,00640000,506,27.7,245,13.4,424,22.8,NA,NA,NA,NA,NA,NA,1098,59,798,43.7,2020-21
Codman Academy Charter Public (District),04380000,76,21.8,36,10.3,86,24.7,NA,NA,NA,NA,NA,NA,268,77,234,67.2,2020-21
Cohasset,00650000,8,0.6,1,0.1,192,13.1,NA,NA,NA,NA,NA,NA,263,17.9,83,5.7,2020-21
Collegiate Charter School of Lowell (District),35030000,393,38.7,232,22.9,59,5.8,NA,NA,NA,NA,NA,NA,693,68.3,533,52.5,2020-21
Community Charter School of Cambridge (District),04360000,137,45.1,18,5.9,44,14.5,NA,NA,NA,NA,NA,NA,174,57.2,138,45.4,2020-21
Community Day Charter Public School - Gateway (District),04260000,229,57.3,78,19.5,46,11.5,NA,NA,NA,NA,NA,NA,332,83,259,64.8,2020-21
Community Day Charter Public School - Prospect (District),04400000,247,61.9,96,24.1,49,12.3,NA,NA,NA,NA,NA,NA,321,80.5,250,62.7,2020-21
Community Day Charter Public School - R. Kingman Webster (District),04310000,209,52.3,83,20.8,43,10.8,NA,NA,NA,NA,NA,NA,314,78.5,241,60.3,2020-21
Concord,00670000,167,8.3,47,2.3,352,17.4,NA,NA,NA,NA,NA,NA,525,25.9,169,8.4,2020-21
Concord-Carlisle,06400000,69,5.2,4,0.3,241,17.9,NA,NA,NA,NA,NA,NA,312,23.2,102,7.8,2020-21
Conservatory Lab Charter (District),04390000,88,19.3,70,15.3,58,12.7,NA,NA,NA,NA,NA,NA,326,71.3,276,60.4,2020-21
Conway,00680000,0,0,0,0,21,16.8,NA,NA,NA,NA,NA,NA,42,33.6,32,25.6,2020-21
